number,text,filename
338,neunzig,0338.mp3
339,nicht,0339.mp3
340,nie,0340.mp3
341,NK,0341.mp3
342,Nominativ,0342.mp3
343,null,0343.mp3
344,null-drei-drei-null,0344.mp3
345,Nummer,0345.mp3
346,nur,0346.mp3
347,Objekt,0347.mp3
348,oder,0348.mp3
349,oder?,0349.mp3
350,offen,0350.mp3
351,oft,0351.mp3
352,Ordinalzahlen,0352.mp3
353,Osten,0353.mp3
354,Pakistan,0354.mp3
355,Pakistaner,0355.mp3
356,pakistanisch,0356.mp3
357,Papa,0357.mp3
358,Papier,0358.mp3
359,passen,0359.mp3
360,Personen,0360.mp3
361,Platz,0361.mp3
362,Possessivartikel,0362.mp3
363,Possessivpronomen,0363.mp3
364,prima!,0364.mp3
365,privat,0365.mp3
366,Punkt,0366.mp3
367,pünktlich,0367.mp3
368,Quadratmeter,0368.mp3
369,receipt,0369.mp3
370,reisen,0370.mp3
371,richtig,0371.mp3
372,Rollenspiel,0372.mp3
373,Rückenschmerzen,0373.mp3
374,Sache,0374.mp3
375,scheinen,0375.mp3
376,scheint,0376.mp3
377,schenken,0377.mp3
378,schlafen,0378.mp3
379,schlecht,0379.mp3
380,schließen,0380.mp3
381,schmecken,0381.mp3
382,Schmidt,0382.mp3
383,schnell,0383.mp3
384,schreiben,0384.mp3
385,Schule,0385.mp3
386,Schweizer,0386.mp3
387,schweizerisch,0387.mp3
388,Schüler,0388.mp3
389,sechs,0389.mp3
390,Sechshundertvierunddreißig!,0390.mp3
391,sechsundsechzig,0391.mp3
392,Sechzehn,0392.mp3
393,sechzehnte,0393.mp3
394,sehen,0394.mp3
395,seid,0395.mp3
396,sein,0396.mp3
397,seit,0397.mp3
398,Sekunden,0398.mp3
399,selten,0399.mp3
400,separate,0400.mp3
401,Servus,0401.mp3
402,Sie,0402.mp3
403,sieben,0403.mp3
404,siebzehn,0404.mp3
405,siebzig,0405.mp3
406,sind,0406.mp3
407,sitzen,0407.mp3
408,sitzt,0408.mp3
409,sollen,0409.mp3
410,sonder,0410.mp3
411,Sonderangebot,0411.mp3
412,sonnig,0412.mp3
413,Speisekarte,0413.mp3
414,spielen,0414.mp3
415,spreche,0415.mp3
416,sprechen,0416.mp3
417,sprichst,0417.mp3
418,spricht,0418.mp3
419,später,0419.mp3
420,st,0420.mp3
421,Staatsangehörigkeit,0421.mp3
422,stehe,0422.mp3
423,stehen,0423.mp3
424,steht,0424.mp3
425,Student,0425.mp3
426,Studenten,0426.mp3
427,studieren,0427.mp3
428,stören,0428.mp3
429,Stück,0429.mp3
430,suchen,0430.mp3
431,Supermarkt,0431.mp3
432,Telefonnachrichten,0432.mp3
433,Telegrammstil,0433.mp3
434,teuer,0434.mp3
435,Textlänge,0435.mp3
436,Trauer,0436.mp3
437,Traumhaft!,0437.mp3
438,traurig,0438.mp3
439,Trinken,0439.mp3
440,trinkt,0440.mp3
441,Tschüs,0441.mp3
442,Tschüs!,0442.mp3
443,Tschüss,0443.mp3
444,Tschüss!,0444.mp3
445,TSETT,0445.mp3
446,TSV-EYE,0446.mp3
447,TSVAN-tsikh,0447.mp3
448,Uhr,0448.mp3
449,um,0449.mp3
450,Unbefugte,0450.mp3
451,und,0451.mp3
452,ung,0452.mp3
453,unsere,0453.mp3
454,Urlaub,0454.mp3
455,VAY,0455.mp3
456,ver,0456.mp3
457,Verb,0457.mp3
458,Verben,0458.mp3
459,verboten,0459.mp3
460,verheiratet,0460.mp3
461,verkaufen,0461.mp3
462,Verspätung,0462.mp3
463,verstanden,0463.mp3
464,verstehe,0464.mp3
465,verstehen,0465.mp3
466,Verstehst,0466.mp3
467,vielleicht,0467.mp3
468,vier,0468.mp3
469,vierundsiebzig,0469.mp3
470,Vogel,0470.mp3
471,von,0471.mp3
472,Vorname,0472.mp3
473,Vorsicht!,0473.mp3
474,wachen,0474.mp3
475,Wann?,0475.mp3
476,war,0476.mp3
477,warm,0477.mp3
478,warten,0478.mp3
479,Warum?,0479.mp3
480,was,0480.mp3
481,Was?,0481.mp3
482,WC,0482.mp3
483,Weber,0483.mp3
484,wegen,0484.mp3
485,wehtun,0485.mp3
486,weil,0486.mp3
487,weiß,0487.mp3
488,welche,0488.mp3
489,Wem?,0489.mp3
490,Wen?,0490.mp3
491,Wer?,0491.mp3
492,werden,0492.mp3
493,Wie,0493.mp3
